pre_z,pre_y,pre_x,post_z,post_y,post_x
4880.0,2684.0,3896.78,4840.0,2778.82,3832.56
3120.0,2515.82,4740.26,3080.0,2504.5,4847.11
4240.0,3436.58,2858.39,4280.0,3553.22,2802.95
3080.0,2581.47,4683.3,3000.0,2591.69,4751.7
4120.0,3595.04,2896.6,4120.0,3703.48,2866.15
3080.0,2921.14,4578.09,3040.0,3017.55,4609.33
3080.0,2737.73,4665.56,3080.0,2772.31,4804.25
4880.0,2799.28,4098.47,4880.0,2890.72,4028.06
3280.0,2359.17,4759.07,3240.0,2316.14,4915.07
3240.0,2502.09,4752.81,3240.0,2514.43,4893.51
3240.0,2653.76,4752.36,3240.0,2659.52,4882.35
3200.0,2741.61,4735.8,3200.0,2771.31,4881.54
2680.0,4422.22,3734.1,2640.0,4383.91,3611.24
2040.0,2816.77,2987.91,2000.0,2802.83,3160.68
2240.0,3320.39,3201.39,2240.0,3262.01,3350.91
2680.0,4554.69,3639.04,2680.0,4594.29,3510.18
4880.0,3032.51,4632.85,4880.0,2940.42,4536.53
4600.0,3027.16,4639.56,4600.0,2881.66,4612.55
2320.0,3159.86,3361.46,2280.0,3287.34,3346.05
2800.0,4357.1,3638.72,2800.0,4280.4,3509.56
4840.0,3084.05,5046.51,4840.0,2960.91,5134.88
3240.0,3548.82,4299.73,3240.0,3657.28,4370.27
2840.0,3687.83,3189.1,2840.0,3832.57,3212.69
2000.0,2400.85,2896.66,2000.0,2428.24,3070.05
3320.0,3466.36,4345.66,3280.0,3517.64,4472.31
2880.0,5056.09,2599.91,2880.0,5107.26,2752.83
4520.0,3007.21,4896.58,4520.0,2848.73,4875.75
3320.0,3579.16,4266.82,3320.0,3699.94,4348.28
3400.0,3467.65,4357.97,3400.0,3491.26,4485.46
3400.0,3543.24,4330.39,3400.0,3603.4,4439.84
3240.0,3299.86,2977.03,3320.0,3184.42,2981.47
4560.0,3073.68,4568.06,4520.0,2972.2,4507.01
3400.0,3621.34,4266.22,3400.0,3720.95,4366.61
3440.0,3473.15,4289.02,3480.0,3488.07,4428.03
4560.0,4145.7,5063.98,4560.0,4260.17,5169.16
3280.0,4267.53,4534.37,3360.0,4266.8,4609.74
3200.0,4950.95,4532.87,3200.0,5030.59,4639.74
3280.0,2655.98,4694.15,3320.0,2724.57,4786.89
3360.0,2690.23,3433.37,3360.0,2850.91,3432.01
3440.0,3562.95,4251.06,3520.0,3632.55,4361.63
4520.0,4184.78,4956.42,4480.0,4309.93,4996.76
3280.0,3281.94,2830.84,3280.0,3149.98,2830.84
4520.0,4223.31,4861.84,4520.0,4383.32,4862.18
3200.0,5014.13,4468.09,3200.0,5150.48,4491.83
2320.0,3067.5,3328.79,2280.0,3111.75,3173.63
3000.0,5065.07,4482.23,3000.0,5196.14,4551.02
4600.0,4209.36,5026.7,4600.0,4350.97,5064.07
3000.0,5004.52,4585.22,3000.0,5110.43,4662.33
2560.0,3263.08,3307.77,2520.0,3395.7,3275.52
3200.0,3483.38,4328.42,3160.0,3517.45,4446.21
3400.0,4139.87,2891.0,3440.0,4213.31,2767.14
2520.0,3219.38,3226.89,2520.0,3346.23,3119.74
2640.0,4097.58,3852.71,2600.0,4104.56,3703.66
3240.0,4084.03,4607.07,3320.0,3996.32,4701.86
3000.0,4845.72,4682.21,3000.0,4864.33,4799.5
3400.0,4074.87,2862.02,3440.0,4030.95,2710.46
2440.0,3165.56,3428.13,2440.0,3324.58,3460.05
3040.0,4935.25,4648.47,3040.0,4988.3,4733.97
4920.0,4183.3,4828.94,4960.0,4309.79,4841.49
2640.0,4444.19,3790.96,2600.0,4346.5,3727.38
2440.0,3150.16,3334.24,2440.0,3273.35,3264.79
3400.0,4204.25,2984.3,3480.0,4312.77,2939.74
4840.0,4217.33,4641.08,4840.0,4358.1,4586.17
4880.0,4213.5,4758.32,4880.0,4338.74,4779.39
3120.0,4956.63,4558.05,3120.0,5065.99,4683.27
3360.0,4199.23,2920.46,3360.0,4340.63,2866.41
3320.0,4166.5,2840.32,3320.0,4259.3,2763.58
3920.0,3510.07,4126.25,3840.0,3583.18,4039.65
4760.0,4243.78,4754.25,4720.0,4363.8,4768.07
3120.0,5020.51,4494.26,3120.0,5151.34,4550.59
3160.0,3287.85,2825.07,3160.0,3129.98,2847.68
4520.0,2960.07,3775.46,4560.0,2874.76,3713.97
4200.0,3611.14,4121.32,4200.0,3637.87,4284.53
3120.0,3281.63,2685.85,3120.0,3158.07,2652.7
