pre_z,pre_y,pre_x,post_z,post_y,post_x
4760.0,4245.03,4085.21,4840.0,4181.07,4208.25
3040.0,2959.84,3659.5,3080.0,3151.06,3709.25
3000.0,2721.56,4286.07,3000.0,2826.47,4399.02
3200.0,2972.72,3604.91,3200.0,3116.17,3733.75
2760.0,3340.05,4911.6,2760.0,3432.01,4778.24
3600.0,4156.83,4163.44,3600.0,3983.04,4108.44
3200.0,3824.16,4406.22,3200.0,3748.58,4523.8
3480.0,3328.38,4468.65,3480.0,3494.06,4536.04
4400.0,3749.42,4259.95,4400.0,3729.91,4373.72
4760.0,4393.98,4164.38,4760.0,4432.78,4309.37
4760.0,4339.97,4160.42,4840.0,4335.72,4264.78
4600.0,3686.34,4167.31,4600.0,3598.2,4257.92
4600.0,3765.59,4226.23,4600.0,3696.34,4341.94
4600.0,3842.92,4231.2,4600.0,3852.02,4347.0
4600.0,3944.05,4211.08,4600.0,3977.61,4304.62
4720.0,4314.5,4186.81,4720.0,4283.94,4319.84
4440.0,3838.85,4274.81,4440.0,3845.43,4402.94
4720.0,4189.33,4156.34,4720.0,4153.33,4275.67
4480.0,3920.14,4253.05,4480.0,4059.59,4245.83
2040.0,3686.61,3707.64,2000.0,3564.98,3654.44
2040.0,3746.37,3649.71,1960.0,3704.17,3594.84
2040.0,3704.33,3783.56,2000.0,3555.3,3813.5
2080.0,3765.93,3540.52,2080.0,3620.14,3475.26
2080.0,3613.25,3735.92,2080.0,3452.31,3730.78
2120.0,2402.12,3296.36,2120.0,2578.47,3366.61
2080.0,3799.26,3424.91,2080.0,3697.87,3322.39
3160.0,4099.88,2451.3,3200.0,4095.93,2346.67
2120.0,2353.89,2851.98,2120.0,2487.4,2765.41
3000.0,3054.57,3506.8,3000.0,3192.59,3549.01
2640.0,3187.5,3777.72,2640.0,3292.3,3693.24
2320.0,2281.75,3362.14,2320.0,2274.83,3527.09
2640.0,3202.62,3920.7,2640.0,3317.98,3957.38
3080.0,2171.95,2763.0,3080.0,2275.86,2872.17
2920.0,2240.71,3381.44,3000.0,2114.75,3360.43
2920.0,2734.17,3669.83,2920.0,2842.41,3786.94
3000.0,2812.28,3769.8,3000.0,2871.62,3880.28
3000.0,2904.62,3729.91,3000.0,2989.48,3802.38
3000.0,2977.25,3619.27,3000.0,3100.38,3711.88
3200.0,2883.89,3804.34,3200.0,2998.62,3891.06
2960.0,2875.58,3565.57,2920.0,2998.1,3515.11
2800.0,2131.19,3813.97,2800.0,2014.08,3812.05
2800.0,2139.6,3931.34,2800.0,2008.25,3955.72
2800.0,2146.03,3665.41,2800.0,2067.78,3608.55
2840.0,2182.36,3853.35,2880.0,2082.38,3888.16
2840.0,2227.69,4004.33,2880.0,2278.47,4132.84
3440.0,3319.46,4485.89,3360.0,3424.41,4531.86
2960.0,2871.04,3629.49,2880.0,2963.25,3647.27
3400.0,2915.9,4705.55,3400.0,2864.95,4844.98
2640.0,3142.84,3692.94,2640.0,3209.32,3600.15
3480.0,3064.52,4627.27,3480.0,3028.09,4767.09
3560.0,3309.72,4560.86,3560.0,3371.91,4697.59
3360.0,2922.2,4631.39,3360.0,2982.7,4735.28
2840.0,2205.54,3946.74,2880.0,2107.17,4019.56
2840.0,2273.48,3878.37,2880.0,2375.88,3970.94
2840.0,2194.65,3767.91,2920.0,2117.41,3740.56
3200.0,3658.21,4289.48,3200.0,3542.92,4336.02
3120.0,2054.81,2908.24,3120.0,2145.29,2978.67
3200.0,3631.38,4200.68,3200.0,3486.46,4214.88
3520.0,3187.15,4613.2,3520.0,3249.51,4744.36
2640.0,3181.35,4011.08,2640.0,3258.85,4075.21
3440.0,3214.58,4562.92,3400.0,3291.67,4674.47
2200.0,2514.08,3158.36,2200.0,2649.22,3165.97
