pre_z,pre_y,pre_x,post_z,post_y,post_x
2040.0,4193.11,2604.48,2040.0,4251.66,2467.5
2280.0,2454.83,3830.72,2280.0,2391.89,3912.36
2400.0,2479.41,3725.62,2400.0,2374.34,3815.0
2400.0,2372.47,3593.69,2400.0,2270.14,3670.17
2400.0,2319.31,3432.38,2400.0,2205.83,3510.75
2440.0,2264.7,3234.12,2440.0,2128.83,3312.16
2480.0,2563.41,3802.11,2480.0,2444.0,3888.84
2520.0,2520.86,3660.31,2520.0,2375.0,3733.88
2520.0,2470.14,3545.72,2520.0,2353.69,3581.36
2520.0,2411.16,3372.39,2520.0,2288.59,3436.47
2120.0,3676.41,3418.42,2120.0,3791.95,3353.06
2120.0,3641.59,3263.23,2120.0,3734.48,3184.7
2040.0,4125.16,2582.36,2120.0,4125.71,2498.06
2040.0,4079.25,2553.66,2040.0,4079.21,2422.4
2080.0,3569.71,3250.98,2000.0,3640.49,3205.59
2080.0,3640.98,3375.43,2000.0,3716.9,3334.65
2800.0,2329.36,4723.42,2840.0,2254.58,4847.2
2000.0,2443.02,4131.84,2000.0,2579.85,4051.39
2000.0,2352.16,4070.4,2000.0,2383.95,3915.94
2080.0,2341.55,3984.8,2080.0,2354.79,3837.34
2800.0,2578.72,4893.38,2800.0,2492.42,5033.69
2800.0,2596.55,4717.73,2880.0,2564.73,4635.69
3920.0,2488.65,5057.49,3920.0,2617.29,5046.75
2840.0,2756.27,4767.36,2840.0,2839.94,4620.09
3240.0,2288.43,4288.22,3200.0,2392.97,4204.18
2800.0,2437.53,4569.95,2800.0,2508.38,4485.33
3240.0,2214.0,4208.38,3200.0,2278.01,4100.96
3240.0,2369.79,4386.62,3200.0,2454.23,4330.32
2840.0,2324.59,4532.72,2840.0,2399.25,4382.36
3240.0,2404.58,4434.31,3200.0,2492.12,4428.78
3240.0,2263.61,4373.52,3200.0,2156.19,4455.01
2760.0,2065.78,4584.97,2760.0,1977.66,4677.14
2080.0,2246.38,4018.42,2080.0,2241.25,3890.08
2120.0,2463.39,4194.0,2120.0,2551.45,4025.81
2440.0,2123.61,4115.41,2440.0,2249.62,3981.25
2400.0,2067.19,4009.36,2400.0,2121.8,3893.64
3240.0,2320.03,4450.69,3200.0,2266.62,4518.44
2560.0,2155.66,4128.11,2560.0,2238.55,3999.25
2560.0,2056.73,4069.0,2560.0,2120.36,3927.92
3360.0,2372.69,4312.5,3360.0,2466.69,4215.12
2680.0,2128.03,4156.55,2680.0,2212.48,4066.14
2680.0,2072.05,4101.67,2680.0,2127.58,3988.84
2760.0,2224.19,4675.06,2760.0,2102.92,4779.81
4360.0,2738.12,4475.99,4320.0,2801.17,4602.08
4520.0,2721.55,4537.32,4520.0,2657.91,4698.88
4680.0,2423.14,3844.77,4680.0,2391.67,3707.64
4680.0,2661.67,3804.94,4680.0,2648.44,3672.8
4720.0,2570.56,3899.59,4720.0,2536.61,3749.38
4760.0,2671.11,3994.73,4760.0,2650.39,3833.42
4640.0,2527.86,3770.03,4640.0,2495.95,3624.45
4600.0,2614.44,3652.7,4600.0,2615.42,3522.06
4600.0,2691.14,3708.28,4600.0,2732.94,3592.53
4520.0,2476.47,3511.44,4520.0,2360.22,3442.12
4560.0,2521.19,3495.03,4560.0,2510.61,3388.81
4480.0,2375.66,3541.64,4480.0,2268.48,3503.14
4480.0,2430.39,3384.55,4480.0,2288.61,3335.67
3200.0,3501.22,4150.75,3200.0,3604.75,4277.5
3560.0,4024.98,4689.53,3560.0,4118.89,4571.13
3200.0,3636.22,4088.44,3200.0,3702.84,4167.14
3360.0,3709.17,3716.38,3360.0,3843.68,3629.4
3400.0,3631.41,3643.22,3400.0,3718.69,3552.88
3360.0,3499.73,3544.69,3360.0,3605.89,3428.83
3520.0,3709.5,3951.27,3520.0,3851.83,3853.0
3480.0,3547.92,3711.17,3560.0,3537.99,3674.14
3480.0,3652.6,3802.73,3520.0,3745.0,3716.35
3840.0,3189.0,4844.3,3840.0,3116.97,4763.11
3840.0,3272.97,4795.91,3840.0,3244.67,4692.06
3760.0,3229.84,4828.08,3760.0,3155.0,4746.28
3480.0,3561.5,3652.34,3480.0,3581.92,3509.04
3440.0,3429.65,3549.4,3480.0,3431.77,3467.09
3560.0,4184.21,4929.23,3560.0,4332.13,4905.01
