pre_z,pre_y,pre_x,post_z,post_y,post_x
4760.0,3491.99,2202.3,4840.0,3396.71,2234.51
4840.0,3790.39,3810.51,4920.0,3865.45,3814.43
4040.0,3364.23,2739.99,4080.0,3298.64,2743.27
4320.0,3752.5,2285.69,4280.0,3681.3,2419.98
2040.0,3345.36,5184.14,2120.0,3462.29,5023.15
4400.0,3713.52,2292.92,4400.0,3598.72,2411.36
4720.0,4176.0,2204.92,4680.0,4270.98,2195.31
4280.0,3924.15,2291.2,4240.0,3932.91,2412.61
4800.0,2126.54,3239.66,4880.0,2111.69,3253.54
2160.0,3960.13,2569.17,2160.0,3828.81,2456.15
1960.0,4354.62,3114.04,2000.0,4498.06,3255.1
4320.0,3841.85,2303.05,4280.0,3850.07,2429.28
3200.0,3874.98,4022.71,3200.0,3842.06,4221.18
2560.0,4869.25,3235.75,2560.0,4870.56,3378.25
2840.0,2795.67,3561.83,2840.0,2755.5,3418.51
2960.0,4743.34,2678.73,2960.0,4624.69,2700.05
2840.0,4677.44,3104.02,2840.0,4559.08,3121.84
3040.0,4377.59,3047.87,3000.0,4491.9,3008.33
3120.0,3713.88,3815.51,3120.0,3521.27,3830.43
3600.0,3748.12,4356.02,3520.0,3759.63,4276.97
2000.0,4046.94,3157.85,2000.0,3961.42,3296.57
2560.0,2135.94,2779.62,2560.0,2141.05,2941.19
2160.0,3945.32,2674.97,2160.0,3777.23,2663.84
2160.0,3981.1,2564.54,2200.0,3928.49,2435.99
3960.0,4156.39,4989.38,4000.0,4070.4,5089.79
4800.0,2232.61,3192.88,4880.0,2255.51,3206.43
4320.0,4001.85,2304.82,4320.0,4065.6,2397.58
4760.0,2272.83,3221.41,4800.0,2375.87,3258.96
2960.0,3758.04,2401.87,3000.0,3690.9,2295.24
4200.0,3560.09,2192.88,4200.0,3573.13,2281.73
4720.0,3151.46,2120.89,4720.0,3228.53,2051.39
4360.0,3338.4,2110.25,4400.0,3289.51,2208.36
4600.0,3535.85,2163.47,4560.0,3385.52,2198.5
2040.0,3323.06,5036.58,2160.0,3323.06,5036.58
4080.0,3541.25,2459.08,4080.0,3626.66,2376.19
4080.0,3617.36,2583.03,4080.0,3723.67,2493.41
4120.0,3669.86,2773.73,4120.0,3793.95,2777.31
4120.0,3671.91,2924.3,4120.0,3817.47,2931.27
4400.0,3180.28,2687.33,4400.0,3350.81,2648.06
2800.0,2215.89,2871.75,2800.0,2319.5,3005.0
4400.0,3108.27,2522.2,4400.0,3221.23,2425.76
2920.0,2143.72,2858.72,2920.0,2165.45,3042.42
4320.0,3016.34,2677.91,4320.0,3210.27,2646.5
3680.0,3249.22,2602.73,3680.0,3187.22,2525.33
2760.0,2117.13,2860.38,2760.0,2127.19,2989.43
2760.0,2288.54,2816.29,2800.0,2417.77,2933.48
3840.0,3233.83,2765.88,3840.0,3113.17,2716.84
3800.0,3314.53,2672.92,3800.0,3126.06,2545.5
3880.0,3253.88,2902.94,3880.0,3098.44,2847.08
4000.0,3321.95,2401.77,4000.0,3197.19,2397.12
4000.0,3648.98,2696.82,4000.0,3787.39,2643.31
4000.0,3348.5,2577.25,4000.0,3204.34,2570.73
4000.0,3341.83,2785.73,4000.0,3201.62,2787.77
4000.0,3288.19,3057.59,4000.0,3172.52,3032.81
4680.0,3065.91,2069.06,4680.0,3155.29,1950.88
4000.0,3593.03,2578.23,4000.0,3727.53,2498.33
4680.0,2175.56,2761.44,4680.0,2270.53,2682.56
4680.0,2275.39,2830.0,4720.0,2372.72,2769.25
4680.0,2373.22,2903.03,4680.0,2461.66,2805.78
4760.0,2290.72,3094.47,4760.0,2457.27,3088.2
4760.0,2282.48,2983.36,4760.0,2446.72,2948.8
4520.0,2162.62,3808.58,4520.0,2134.55,3924.3
4520.0,2092.98,3781.41,4520.0,2060.12,3883.06
4480.0,2256.64,3795.95,4480.0,2284.66,3909.56
4480.0,2162.52,3842.08,4480.0,2128.02,3930.23
4560.0,3050.3,2166.01,4560.0,3160.51,2096.72
4040.0,3362.29,2933.16,4080.0,3254.45,2911.26
3800.0,3165.39,2855.45,3800.0,3066.54,2797.19
2800.0,2731.59,3596.41,2800.0,2659.27,3461.55
2920.0,2719.48,3623.61,2920.0,2610.12,3537.28
2360.0,2913.03,4438.28,2360.0,3110.77,4457.48
2360.0,2931.05,4239.73,2360.0,3067.05,4205.47
2520.0,3742.53,4268.3,2520.0,3846.31,4341.61
2520.0,3773.3,4135.36,2520.0,3924.26,4124.06
2480.0,3797.95,4207.77,2480.0,3924.77,4268.69
2280.0,3771.3,4284.55,2280.0,3897.47,4368.14
2280.0,3771.08,4123.64,2280.0,3952.52,4081.53
2280.0,3832.81,4216.94,2280.0,3938.38,4250.41
4960.0,3089.06,3995.45,4960.0,2941.48,3929.2
4960.0,3180.8,3830.08,4960.0,3042.45,3775.25
2720.0,3535.27,3992.0,2720.0,3451.88,4113.5
2720.0,3638.31,4049.36,2720.0,3633.22,4157.7
3840.0,4229.96,4994.33,3840.0,4076.21,5029.28
4520.0,3937.39,4050.06,4520.0,4044.23,4125.38
4520.0,3951.11,3983.53,4520.0,4088.91,3980.77
4680.0,3989.77,4040.11,4680.0,4153.01,4014.09
4640.0,3988.55,3890.8,4640.0,4135.28,3829.67
